English Word,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aback,,,,,,,,,,
abacus,,,,,,,,,,Trust
abandon,,Negative,,,,Fear,,Sadness,,
abandoned,,Negative,Anger,,,Fear,,Sadness,,
abandonment,,Negative,Anger,,,Fear,,Sadness,Surprise,
abate,,,,,,,,,,
abatement,,,,,,,,,,
abba,Positive,,,,,,,,,
abbot,,,,,,,,,,Trust
abbreviate,,,,,,,,,,
abbreviation,,,,,,,,,,
abdomen,,,,,,,,,,
abdominal,,,,,,,,,,
abduction,,Negative,,,,Fear,,Sadness,Surprise,
aberrant,,Negative,,,,,,,,
aberration,,Negative,,,Disgust,,,,,
abeyance,,,,,,,,,,
abhor,,Negative,Anger,,Disgust,Fear,,,,
abhorrent,,Negative,Anger,,Disgust,Fear,,,,
abide,,,,,,,,,,
ability,Positive,,,,,,,,,
abject,,Negative,,,Disgust,,,,,
ablation,,,,,,,,,,
ablaze,,,,,,,,,,
abnormal,,Negative,,,Disgust,,,,,
aboard,,,,,,,,,,
abode,,,,,,,,,,
abolish,,Negative,Anger,,,,,,,
abolition,,Negative,,,,,,,,
abominable,,Negative,,,Disgust,Fear,,,,
abomination,,Negative,Anger,,Disgust,Fear,,,,
aboriginal,,,,,,,,,,
abort,,Negative,,,,,,,,
abortion,,Negative,,,Disgust,Fear,,Sadness,,
abortive,,Negative,,,,,,Sadness,,
abound,,,,,,,,,,
abovementioned,Positive,,,,,,,,,
abrasion,,Negative,,,,,,,,
abroad,,,,,,,,,,
abrogate,,Negative,,,,,,,,
abrupt,,,,,,,,,Surprise,
abruptly,,,,,,,,,,
abscess,,Negative,,,,,,Sadness,,
absence,,Negative,,,,Fear,,Sadness,,
absent,,Negative,,,,,,Sadness,,
absentee,,Negative,,,,,,Sadness,,
absenteeism,,Negative,,,,,,,,
absinthe,,,,,,,,,,
absolute,Positive,,,,,,,,,
absolution,Positive,,,,,,Joy,,,Trust
absorbed,Positive,,,,,,,,,
absorbent,,,,,,,,,,
absorbing,,,,,,,,,,
absorption,,,,,,,,,,
abstain,,,,,,,,,,
abstention,,,,,,,,,,
abstinence,,,,,,,,,,
abstract,,,,,,,,,,
abstraction,,,,,,,,,,
absurd,,Negative,,,,,,,,
absurdity,,Negative,,,,,,,,
abundance,Positive,Negative,,Anticipation,Disgust,,Joy,,,Trust
abundant,Positive,,,,,,Joy,,,
abuse,,Negative,Anger,,Disgust,Fear,,Sadness,,
abutment,,,,,,,,,,
aby,,,,,,,,,,
abysmal,,Negative,,,,,,Sadness,,
abyss,,Negative,,,,Fear,,Sadness,,
academic,Positive,,,,,,,,,Trust
academy,Positive,,,,,,,,,
accede,,,,,,,,,,
accelerate,,,,Anticipation,,,,,,
acceleration,,,,,,,,,,
accent,,,,,,,,,,
accentuate,,,,,,,,,,
accept,,,,,,,,,,
acceptable,Positive,,,,,,,,,
acceptance,Positive,,,,,,,,,
access,,,,,,,,,,
accessible,Positive,,,,,,,,,
accession,,,,,,,,,,
accessory,,,,,,,,,,
accident,,Negative,,,,Fear,,Sadness,Surprise,
accidental,,Negative,,,,Fear,,,Surprise,
accidentally,,,,,,,,,Surprise,
accolade,Positive,,,Anticipation,,,Joy,,Surprise,Trust
accommodate,,,,,,,,,,
accommodation,Positive,,,,,,,,,
accompaniment,Positive,,,Anticipation,,,Joy,,,Trust
accompany,,,,,,,,,,
accompanying,,,,,,,,,,
accomplice,,,,,,,,,,
accomplish,Positive,,,,,,Joy,,,
accomplished,Positive,,,,,,Joy,,,
accomplishment,Positive,,,,,,,,,
accord,Positive,,,,,,,,,Trust
accordance,,,,,,,,,,
accordion,,,,,,,,,,
account,,,,,,,,,,Trust
accountability,Positive,,,,,,,,,Trust
accountable,Positive,,,,,,,,,Trust
accountant,,,,,,,,,,Trust
accounting,,,,,,,,,,
accounts,,,,,,,,,,Trust
accredited,Positive,,,,,,,,,Trust
accretion,,,,,,,,,,
accrue,,,,,,,,,,
accueil,Positive,,,,,,,,,
accumulate,,,,,,,,,,
accumulation,,,,,,,,,,
accuracy,,,,,,,,,,
accurate,Positive,,,,,,,,,Trust
accursed,,Negative,Anger,,,Fear,,Sadness,,
accusation,,Negative,Anger,,Disgust,,,,,
accusative,,Negative,,,,,,,,
accused,,Negative,Anger,,,Fear,,,,
accuser,,Negative,Anger,,,Fear,,,,
accusing,,Negative,Anger,,,Fear,,,,
accustomed,,,,,,,,,,
ace,Positive,,,,,,,,,
acetic,,,,,,,,,,
ache,,Negative,,,,,,Sadness,,
achieve,Positive,,,,,,Joy,,,Trust
achievement,Positive,,,Anticipation,,,Joy,,,Trust
aching,,Negative,,,,,,Sadness,,
acid,,Negative,,,,,,,,
acidity,,,,,,,,,,
acknowledge,,,,,,,,,,
acknowledged,,,,,,,,,,
acknowledgment,Positive,,,,,,,,,
acme,,,,,,,,,,
acoustic,,,,,,,,,,
acoustics,,,,,,,,,,
acquaint,,,,,,,,,,
acquaintance,,,,,,,,,,
acquainted,,,,,,,,,,
acquiescence,,,,,,,,,,
acquire,Positive,,,,,,,,,
acquiring,Positive,,,Anticipation,,,,,,
acquisition,,,,,,,,,,
acquisitions,,,,,,,,,,
acreage,,,,,,,,,,
acres,,,,,,,,,,
acrobat,Positive,,,,,Fear,Joy,,,Trust
act,,,,,,,,,,
acting,,,,,,,,,,
action,Positive,,,,,,,,,
actionable,,Negative,Anger,,Disgust,,,,,
active,,,,,,,,,,
activity,,,,,,,,,,
actor,,,,,,,,,,
