Anger,Anticipation,Disgust,English Word,Fear,Joy,Negative,Positive,Sadness,Surprise,Trust
,,,aback,,,,,,,
,,,abacus,,,,,,,Trust
,,,abandon,Fear,,Negative,,Sadness,,
,,,wantonness,Fear,,Negative,,Sadness,,
Anger,,,abandoned,Fear,,Negative,,Sadness,,
Anger,,,abandonment,Fear,,Negative,,Sadness,Surprise,
Anger,,,forsaking,Fear,,Negative,,Sadness,Surprise,
,,,abate,,,,,,,
,,,die away,,,,,,,
,,,abatement,,,,,,,
,,,suspension,,,,,,,
,,,abbot,,,,,,,Trust
,,,archimandrite,,,,,,,Trust
,,,abbreviate,,,,,,,
,,,contract,,,,,,,
,,,abbreviation,,,,,,,
,,,abdomen,,,,,,,
,,,stomach,,,,,,,
,,,abdominal,,,,,,,
,,,abdominal muscle,,,,,,,
,,,abduction,Fear,,Negative,,Sadness,Surprise,
,,,aberrant,,,Negative,,,,
,,Disgust,aberration,,,Negative,,,,
,,Disgust,aberrancy,,,Negative,,,,
,,,abeyance,,,,,,,
Anger,,Disgust,abhor,Fear,,Negative,,,,
Anger,,Disgust,loathe,Fear,,Negative,,,,
Anger,,Disgust,abhorrent,Fear,,Negative,,,,
Anger,,Disgust,repulsive,Fear,,Negative,,,,
,,,abide,,,,,,,
,,,ability,,,,Positive,,,
,,,power,,,,Positive,,,
,,Disgust,abject,,,Negative,,,,
,,Disgust,scurvy,,,Negative,,,,
,,,ablation,,,,,,,
,,,excision,,,,,,,
,,,ablaze,,,,,,,
,,,alight,,,,,,,
,,Disgust,abnormal,,,Negative,,,,
,,Disgust,unnatural,,,Negative,,,,
,,,aboard,,,,,,,
,,,abode,,,,,,,
Anger,,,abolish,,,Negative,,,,
,,,abolition,,,Negative,,,,
,,Disgust,abominable,Fear,,Negative,,,,
,,Disgust,detestable,Fear,,Negative,,,,
Anger,,Disgust,abomination,Fear,,Negative,,,,
Anger,,Disgust,detestation,Fear,,Negative,,,,
,,,aboriginal,,,,,,,
,,,aborigine,,,,,,,
,,,abort,,,Negative,,,,
,,Disgust,abortion,Fear,,Negative,,Sadness,,
,,Disgust,miscarriage,Fear,,Negative,,Sadness,,
,,,abortive,,,Negative,,Sadness,,
,,,abound,,,,,,,
,,,abrasion,,,Negative,,,,
,,,attrition,,,Negative,,,,
,,,abroad,,,,,,,
,,,afield,,,,,,,
,,,abrogate,,,Negative,,,,
,,,abrupt,,,,,,Surprise,
,,,abruptly,,,,,,,
,,,suddenly,,,,,,,
,,,abscess,,,Negative,,Sadness,,
,,,absence,Fear,,Negative,,Sadness,,
,,,absence seizure,Fear,,Negative,,Sadness,,
,,,absent,,,Negative,,Sadness,,
,,,absentminded,,,Negative,,Sadness,,
,,,absentee,,,Negative,,Sadness,,
,,,absenteeism,,,Negative,,,,
,,,absinthe,,,,,,,
,,,Artemisia absinthium,,,,,,,
,,,absolute,,,,Positive,,,
,,,right-down,,,,Positive,,,
,,,absolution,,Joy,,Positive,,,Trust
,,,remission,,Joy,,Positive,,,Trust
,,,absorbed,,,,Positive,,,
,,,occupy,,,,Positive,,,
,,,absorbent,,,,,,,
,,,absorptive,,,,,,,
,,,absorbing,,,,,,,
,,,absorption,,,,,,,
,,,assimilation,,,,,,,
,,,abstain,,,,,,,
,,,refrain,,,,,,,
,,,abstention,,,,,,,
,,,abstinence,,,,,,,
,,,abstract,,,,,,,
,,,precis,,,,,,,
,,,abstraction,,,,,,,
,,,abstractedness,,,,,,,
,,,absurd,,,Negative,,,,
,,,laughable,,,Negative,,,,
,,,absurdity,,,Negative,,,,
,,,fatuity,,,Negative,,,,
,Anticipation,Disgust,abundance,,Joy,Negative,Positive,,,Trust
,Anticipation,Disgust,teemingness,,Joy,Negative,Positive,,,Trust
,,,abundant,,Joy,,Positive,,,
Anger,,Disgust,abuse,Fear,,Negative,,Sadness,,
Anger,,Disgust,ill-treatment,Fear,,Negative,,Sadness,,
,,,abutment,,,,,,,
,,,aby,,,,,,,
,,,abye,,,,,,,
,,,abysmal,,,Negative,,Sadness,,
,,,unfathomable,,,Negative,,Sadness,,
,,,abyss,Fear,,Negative,,Sadness,,
,,,atone,Fear,,Negative,,Sadness,,
,,,academic,,,,Positive,,,Trust
,,,pedantic,,,,Positive,,,Trust
,,,academy,,,,Positive,,,
,,,honorary society,,,,Positive,,,
,,,accede,,,,,,,
,,,give in,,,,,,,
,Anticipation,,accelerate,,,,,,,
,Anticipation,,speed up,,,,,,,
,,,acceleration,,,,,,,
,,,quickening,,,,,,,
,,,accent,,,,,,,
,,,stress,,,,,,,
,,,accentuate,,,,,,,
,,,accept,,,,,,,
,,,take,,,,,,,
,,,acceptable,,,,Positive,,,
,,,satisfactory,,,,Positive,,,
,,,acceptance,,,,Positive,,,
,,,banker's acceptance,,,,Positive,,,
,,,access,,,,,,,
,,,admission,,,,,,,
,,,accessible,,,,Positive,,,
,,,approachable,,,,Positive,,,
,,,accession,,,,,,,
,,,accessory,,,,,,,
,,,appurtenance,,,,,,,
,,,accident,Fear,,Negative,,Sadness,Surprise,
,,,stroke,Fear,,Negative,,Sadness,Surprise,
,,,accidental,Fear,,Negative,,,Surprise,
,,,inadvertent,Fear,,Negative,,,Surprise,
,,,accidentally,,,,,,Surprise,
,,,unexpectedly,,,,,,Surprise,
,Anticipation,,accolade,,Joy,,Positive,,Surprise,Trust
,Anticipation,,honor,,Joy,,Positive,,Surprise,Trust
,,,accommodate,,,,,,,
,,,conciliate,,,,,,,
,,,accommodation,,,,Positive,,,
,Anticipation,,accompaniment,,Joy,,Positive,,,Trust
,Anticipation,,backup,,Joy,,Positive,,,Trust
,,,accompany,,,,,,,
,,,play along,,,,,,,
,,,accompanying,,,,,,,
,,,accomplice,,,,,,,
,,,confederate,,,,,,,
,,,accomplish,,Joy,,Positive,,,
,,,fulfill,,Joy,,Positive,,,
,,,accomplished,,Joy,,Positive,,,
,,,realized,,Joy,,Positive,,,
,,,accomplishment,,,,Positive,,,
,,,skill,,,,Positive,,,
,,,accord,,,,Positive,,,Trust
,,,treaty,,,,Positive,,,Trust
,,,accordance,,,,,,,
,,,conformity,,,,,,,
,,,accordion,,,,,,,
,,,squeeze box,,,,,,,
,,,account,,,,,,,Trust
,,,explanation,,,,,,,Trust
,,,accountability,,,,Positive,,,Trust
,,,answerability,,,,Positive,,,Trust
,,,accountable,,,,Positive,,,Trust
,,,accountant,,,,,,,Trust
,,,accounting,,,,,,,
,,,accountancy,,,,,,,
,,,accounts,,,,,,,Trust
,,,accredited,,,,Positive,,,Trust
,,,credit,,,,Positive,,,Trust
,,,accretion,,,,,,,
,,,accrue,,,,,,,
,,,accumulate,,,,,,,
,,,pile up,,,,,,,
,,,accumulation,,,,,,,
,,,collection,,,,,,,
,,,accuracy,,,,,,,
,,,truth,,,,,,,
,,,accurate,,,,Positive,,,Trust
Anger,,,accursed,Fear,,Negative,,Sadness,,
Anger,,,anathemise,Fear,,Negative,,Sadness,,
Anger,,Disgust,accusation,,,Negative,,,,
Anger,,Disgust,accusal,,,Negative,,,,
,,,accusative,,,Negative,,,,
,,,accusatory,,,Negative,,,,
Anger,,,accused,Fear,,Negative,,,,
Anger,,,accuser,Fear,,Negative,,,,
Anger,,,accusing,Fear,,Negative,,,,
,,,accustomed,,,,,,,
,,,accustom,,,,,,,
,,,ace,,,,Positive,,,
,,,breeze through,,,,Positive,,,
,,,acetic,,,,,,,
,,,ache,,,Negative,,Sadness,,
,,,achieve,,Joy,,Positive,,,Trust
,,,reach,,Joy,,Positive,,,Trust
,Anticipation,,achievement,,Joy,,Positive,,,Trust
,,,aching,,,Negative,,Sadness,,
,,,acid,,,Negative,,,,
,,,loony toons,,,Negative,,,,
,,,acidity,,,,,,,
,,,sour,,,,,,,
,,,acknowledge,,,,,,,
,,,know,,,,,,,
,,,acknowledged,,,,,,,
,,,acknowledgment,,,,Positive,,,
,,,recognition,,,,Positive,,,
,,,acme,,,,,,,
,,,summit,,,,,,,
,,,acoustic,,,,,,,
,,,acoustical,,,,,,,
,,,acoustics,,,,,,,
,,,acquaint,,,,,,,
,,,acquaintance,,,,,,,
,,,conversance,,,,,,,
,,,acquainted,,,,,,,
,,,acquiescence,,,,,,,
,,,assent,,,,,,,
,,,acquire,,,,Positive,,,
,,,larn,,,,Positive,,,
,Anticipation,,acquiring,,,,Positive,,,
,,,acquisition,,,,,,,
,,,learning,,,,,,,
,,,acquisitions,,,,,,,
,,,acreage,,,,,,,
,,,land area,,,,,,,
,,,acres,,,,,,,
,,,acre,,,,,,,
,,,acrobat,Fear,Joy,,Positive,,,Trust
,,,act,,,,,,,
,,,acting,,,,,,,
,,,action,,,,Positive,,,
,,,activeness,,,,Positive,,,
Anger,,Disgust,actionable,,,Negative,,,,
,,,active,,,,,,,
,,,alive,,,,,,,
,,,activity,,,,,,,
,,,actor,,,,,,,
,,,actual,,,,Positive,,,
,,,literal,,,,Positive,,,
,,,actuality,,,,,,,
,,,actuary,,,,,,,
,,,acuity,,,,Positive,,,
,,,sharp-sightedness,,,,Positive,,,
,,,acumen,,,,Positive,,,
,,,acupuncture,,,,,,,
,,,acutely,,,,,,,
,,,shrewdly,,,,,,,
,,,adage,,,,,,,
,,,saw,,,,,,,
,,,adamant,,,,,,,
,,,intransigent,,,,,,,
,,,adapt,,,,Positive,,,
,,,adjust,,,,Positive,,,
,,,adaptable,,,,Positive,,,
,,,add,,,,,,,
,,,tally,,,,,,,
,,,added,,,,,,,
,,,add together,,,,,,,
,,,addendum,,,,,,,
Anger,,Disgust,adder,Fear,,Negative,,Sadness,,
,,,addiction,,,Negative,,,,
,,,dependance,,,Negative,,,,
,,,addition,,,,,,,
,,,gain,,,,,,,
,,,additional,,,,,,,
,,,additive,,,,,,,
,,,address,,,,,,,
,,,direct,,,,,,,
,,,addressee,,,,,,,
,Anticipation,,addresses,,,,Positive,,,
,,,adept,,,,Positive,,,
,,,adequacy,,,,Positive,,,
,,,adequateness,,,,Positive,,,
,,,adequate,,,,,,,
,,,decent,,,,,,,
,,,adhere,,,,,,,
,,,cling,,,,,,,
,,,adherence,,,,,,,
,,,adherent,,,,,,,
,,,adhering,,,,,,,Trust
,,,adhesion,,,,,,,
,,,adhesive,,,,,,,
,,,adhesive material,,,,,,,
,,,adieu,,,,,,,
,,,cheerio,,,,,,,
,,,adipose,,,Negative,,,,
,,,adjacency,,,,,,,
,,,contiguousness,,,,,,,
,,,adjacent,,,,,,,
,,,conterminous,,,,,,,
,,,adjective,,,,,,,
,,,adjoining,,,,,,,
,,,edge,,,,,,,
,,,adjourn,,,,,,,
,,,withdraw,,,,,,,
,,,adjournment,,,,,,,
,,,adjudicate,Fear,,Negative,,,,
,,,try,Fear,,Negative,,,,
,,,adjudication,,,,,,,
,,,adjunct,,,,Positive,,,
,,,ancillary,,,,Positive,,,
,,,align,,,,,,,
,,,adjustment,,,,,,,
,,,registration,,,,,,,
,,,adjuvant,,,,,,,
,,,administer,,,,,,,
,,,dole out,,,,,,,
,,,administration,,,,,,,
,,,governing,,,,,,,
,,,administrative,,,,,,,Trust
,,,admirable,,Joy,,Positive,,,Trust
,,,admiral,,,,Positive,,,Trust
,,,admiralty,,,,,,,
,,,admiration,,Joy,,Positive,,,Trust
,,,admire,,,,Positive,,,Trust
,,,admirer,,,,Positive,,,
,,,adorer,,,,Positive,,,
,,,admissibility,,,,,,,
,,,admissible,,,,Positive,,,Trust
,,,admit,,,,,,,
,,,allow in,,,,,,,
,,,admittance,,,,,,,
,,,admitted,,,,,,,
,,,admitting,,,,,,,
,,,admixture,,,,,,,
,,,intermixture,,,,,,,
,,,admonition,Fear,,Negative,,,,
,,,warning,Fear,,Negative,,,,
,,,ado,,,,,,,
,,,fuss,,,,,,,
,,,adobe,,,,,,,
,,,adolescence,,,,,,,
,,,adolescent,,,,,,,
,,,jejune,,,,,,,
,,,adopt,,,,,,,
,,,dramatize,,,,,,,
,,,adoption,,,,,,,
,,,borrowing,,,,,,,
,,,adorable,,Joy,,Positive,,,
,,,endearing,,Joy,,Positive,,,
,,,adoration,,Joy,,Positive,,,Trust
,,,worship,,Joy,,Positive,,,Trust
,Anticipation,,adore,,Joy,,Positive,,,Trust
,,,adorn,,,,,,,
,,,beautify,,,,,,,
,,,adornment,,,,,,,
,Anticipation,,adrift,Fear,,Negative,,Sadness,,
,Anticipation,,rudderless,Fear,,Negative,,Sadness,,
,,,adult,,,,,,,
,,,grown,,,,,,,
,,,adulterated,,,Negative,,,,
,,,stretch,,,Negative,,,,
,,Disgust,adultery,,,Negative,,Sadness,,
,,Disgust,criminal conversation,,,Negative,,Sadness,,
,Anticipation,,advance,Fear,Joy,,Positive,,Surprise,
,,,advanced,,,,Positive,,,
,,,advancement,,,,Positive,,,
,,,promotion,,,,Positive,,,
,,,advancing,,,,,,,
,,,advantage,,,,Positive,,,
,,,advantageous,,,,Positive,,,
,Anticipation,,advent,,Joy,,Positive,,,Trust
,Anticipation,,Second Advent,,Joy,,Positive,,,Trust
,Anticipation,,adventure,,,,Positive,,,
,Anticipation,,jeopardize,,,,Positive,,,
,,,adventurer,,,,,,,
,,,venturer,,,,,,,
,,,adventurous,,,,Positive,,,
Anger,,,adversary,,,Negative,,,,
Anger,,Disgust,adverse,Fear,,Negative,,Sadness,,
Anger,,Disgust,contrary,Fear,,Negative,,Sadness,,
Anger,,,adversity,Fear,,Negative,,Sadness,,
Anger,,,hard knocks,Fear,,Negative,,Sadness,,
,,,advertise,,,,,,,
,,,advertisement,,,,,,,
,,,advert,,,,,,,
,,,advice,,,,,,,Trust
,,,advisable,,,,Positive,,,Trust
,,,advise,,,,Positive,,,Trust
,,,apprize,,,,Positive,,,Trust
,,,advised,,,,,,,Trust
,,,advisement,,,,,,,
,,,weighing,,,,,,,
,,,adviser,,,,Positive,,,Trust
,,,consultant,,,,Positive,,,Trust
Anger,Anticipation,,advocacy,,Joy,,Positive,,,Trust
,,,advocate,,,,,,,Trust
,,,preach,,,,,,,Trust
,,,aegis,,,,,,,
,,,aeration,,,,,,,
,,,aerial,,,,,,,
,,,airy,,,,,,,
,,,aerodrome,,,,,,,
,,,drome,,,,,,,
,,,aerodynamics,,,,,,,
,,,aeronautics,,,,,,,
,,,astronautics,,,,,,,
,,,aeroplane,,,,,,,
,,,airplane,,,,,,,
,,,aesthetic,,,,Positive,,,
,,,aesthetical,,,,Positive,,,
,,,aesthetics,,Joy,,Positive,,,
,,,aetiology,,,,,,,
,,,afar,,,,,,,
,,,affable,,,,Positive,,,
,,,cordial,,,,Positive,,,
,,,affair,,,,,,,
,,,social function,,,,,,,
,,,affecting,,,,,,,
,,,bear on,,,,,,,
,,,affection,,Joy,,Positive,,,Trust
,,,warmness,,Joy,,Positive,,,Trust
,,,affections,,,,,,,
,,,affidavit,,,,,,,
